entity	ID
admin@338	1
financial	2
economic	3
trade policy	4
publicly available RATs	5
Poison Ivy	6
non-public backdoors	7
media companies	8
political	9
Hong Kong	10
China	11
cyber threat groups	12
China-based	13
international media organizations	14
August 2015	15
spear phishing emails	16
media organizations	17
Hong Kong-based	18
threat actors	19
activities	20
policy organizations	21
audiences	22
Western	23
upload.bat	24
BUBBLEWRAP	25
Backdoor.APT.FakeWinHTTPHelper	26
admin@338 group	27
group	28
LOWBALL	29
collect information	30
governments	31
ministries	32
APT	33
targeted attacks	34
gang	35
media	36
remote access Trojans	37
government	38
financial firms	39
global economic	40
agroup	41
2008	42
financial services	43
telecoms	44
defense sectors	45
APT actor	46
FireEye	47
August 2013	48
Poison Ivy RAT	49
March 2014	50
think tank	51
Asia-Pacific	52
US-based	53
emails	54
Microsoft Office vulnerabilities	55
attackers	56
threat groups	57
hackers	58
cyber espionage	59
Chinese-based	60
government officials	61
WinHTTPHelper malware	62
spear-phishing campaign	63
attack	64
14th March	65
cyber threat actors	66
2013	67
activity	68
APT1	69
Shanghai	70
Chinese	71
BISCUIT	72
2007	73
publicly available backdoors	74
Gh0st RAT	75
mid-2006	76
cyber-espionage group	77
Arbor	78
APT12	79
HIGHTIDE	80
RIPTIDE	81
HIGHTIDE backdoor	82
October 2012	83
May 2014	84
HTTP	85
RIPTIDE campaigns	86
Microsoft Word	87
.doc	88
cyber threat group	89
threat	90
The New York Times	91
Backdoor.APT.Aumlib	92
Backdoor.APT.Ixeshe malware families	93
NUMBERED PANDA	94
Numbered Panda	95
campaigns	96
January	97
APT16	98
November 26 , 2015	99
December 1 , 2015	100
spear phishing attacks	101
high-tech	102
government services	103
financial services industries	104
Japan	105
Taiwan	106
APT groups	107
Japanese	108
Taiwanese	109
high-tech companies	110
APT group	111
December	112
phishing campaign	113
APT16 actors	114
APT actors	115
government agency	116
lure document	117
ELMER backdoor	118
Taiwan-based	119
APT17	120
BLACKCOFFEE malware	121
information security community	122
FireEye Intelligence	123
government entities	124
defense industry	125
law firms	126
information technology companies	127
mining companies	128
non-government organizations	129
DeputyDog	130
threat group	131
U.S.	132
BLACKCOFFEE	133
TG-0416	134
2009	135
technology	136
industrial	137
manufacturing	138
human rights groups	139
pharmaceutical	140
medical technology	141
Advanced Persistent Threat	142
APT18	143
hcdLoader RAT	144
Wekby group	145
HTTPBrowser malware family	146
HTTPBrowser	147
Token Control	148
APT19	149
defense sector firms	150
energy sectors	151
commercial	152
FANCY BEAR	153
Russian-based	154
mid 2000s	155
intrusion campaigns	156
Aerospace	157
Defense	158
Energy	159
Government	160
Media sectors	161
Sofacy	162
APT 28	163
threat actor	164
APT28	165
Eastern European	166
Russian	167
steal information	168
espionage groups	169
TG-4127	170
military	171
SOURFACE downloader	172
EVILTOSS	173
modular family of implants	174
CHOPSTICK	175
Russia	176
former Soviet	177
campaign	178
CTU	179
political organization	180
Department of Homeland Security	181
December 29 , 2016	182
DHS	183
FBI	184
October 2014	185
Cyber Espionage Operations	186
rockers	187
dissidents	188
spear-phishing emails	189
2014	190
espionage actor	191
espionage group	192
intelligence-gathering	193
2017	194
2018	195
Europe	196
South America	197
attack group	198
May 2016	199
intelligence gathering	200
Central Asia	201
Eastern Asia	202
Earworm	203
Zebrocy	204
Ukraine	205
Spain	206
Romania	207
United States	208
Canada	209
operators	210
citizens	211
US	212
geopolitical	213
Sofacy group	214
CORESHELL	215
SPLM	216
JHUHUGIT	217
AZZY	218
Xagent	219
Carberp	220
Flash exploits	221
JHUHUGIT downloaders	222
actor APT28	223
hospitality sector	224
EternalBlue exploit	225
open source tool	226
Responder	227
spread laterally through networks	228
backdoor tools	229
attack campaigns	230
Cannon tool	231
Fancy Bear	232
STRONTIUM	233
Pawn Storm	234
Sednit	235
mid-October 2018	236
mid-November 2018	237
citizens—journalists	238
software developers	239
politicians	240
researchers at universities	241
artists	242
backdoors	243
USB stealers	244
Mimikatz	245
Sofacy threat group	246
government organizations	247
EU	248
Zebrocy tool	249
Trojan	250
Cannon	251
Komplex	252
Komplex Trojan	253
attacks	254
Dukes	255
MiniDuke	256
cyberespionage group	257
CosmicDuke	258
OnionDuke	259
CozyDuke	260
collect intelligence	261
CloudDuke	262
SeaDuke	263
HammerDuke	264
PinchDuke	265
GeminiDuke	266
Dukes group	267
PinchDuke samples	268
Ministry of Defense	269
ministries of foreign affairs	270
Turkey	271
Uganda	272
PinchDuke trojan samples	273
2011	274
February 2013	275
MiniDuke campaigns	276
Operation Pawn Storm	277
spring of 2015	278
CozyDuke campaigns	279
CosmicDuke campaigns	280
summer of 2014	281
CVE-2013-0640	282
zero-day	283
GeminiDuke samples	284
Mandiant	285
APT29	286
The Onion Router	287
TOR domain fronting plugin meek	288
Google	289
POSHSPY	290
APT32	291
Vietnamese	292
Vietnam	293
journalists	294
2016	295
consumer products corporations	296
spear-phishing attachment	297
Vietnam.exe	298
diaspora	299
Southeast Asia	300
2015	301
foreign corporations	302
consumer products	303
hospitality sectors	304
WINDSHIELD	305
KOMPROGO	306
SOUNDBITE	307
PHOREAL	308
actor	309
social engineering	310
Australia	311
government employees	312
Philippines	313
Cobalt Strike BEACON backdoor	314
Cobalt Strike backdoor	315
cyber espionage group	316
OceanLotus	317
Vietnam-based	318
Volexity	319
customized PowerShell	320
Cobalt Strike	321
PowerSploit	322
Nishang	323
Iranian	324
APT33	325
cyber espionage operations	326
spanning multiple industries	327
Saudi Arabia	328
South Korea	329
Cybereason	330
OceanLotus Group	331
Backdoor.Win32.Denis	332
aviation sector	333
energy sector	334
petrochemical	335
mid-2016	336
early 2017	337
organization	338
aerospace sector	339
business conglomerate	340
oil refining	341
petrochemicals	342
May 2017	343
Saudi	344
South Korean	345
malicious file	346
Saudi Arabian	347
petrochemical company	348
military aviation capabilities	349
Iran	350
domestic aviation capabilities	351
energy	352
actors	353
employees	354
aviation industry	355
aviation companies	356
commercial fleet	357
aerospace	358
name servers	359
NANOCORE	360
NETWIRE	361
ALFA Shell	362
aviation	363
aviation capabilities	364
strategic decision making	365
Elfin	366
FireEye 's Advanced Practices	367
May 16 , 2019	368
APT33 activity	369
Elfin group	370
APT37	371
2012	372
Korean peninsula	373
Middle East	374
chemicals	375
electronics	376
automotive	377
healthcare entities	378
North Korean	379
telecommunications service	380
hosting companies	381
North Korea	382
Middle Eastern	383
company	384
research fellow	385
advisory member	386
journalist	387
strategic organizations	388
SLOWDRIFT malware	389
academic	390
strategic institutions	391
KARAE malware	392
November 2017	393
zero-day Adobe Flash vulnerability	394
CVE-2018-4878	395
DOGCALL malware	396
FireEye iSIGHT Intelligence	397
April 2017	398
DOGCALL backdoor	399
RUHAPPY wiper malware	400
distributed denial-of-service	401
DDoS	402
financially	403
spear phishing lure	404
board member	405
financial company	406
ScarCruft	407
Nepal	408
India	409
Kuwait	410
Operation Daybreak	411
ScarCruft APT	412
Operation Erebus	413
infect high profile targets	414
spear-phishing e-mails	415
ROKRAT	416
Group123	417
early part of 2017	418
Evil New Year	419
HWP document	420
NavRAT	421
APT38	422
financially motivated	423
destructive attacks	424
financial institutions	425
regime-backed group	426
cyber heists	427
balancing financially motivated objectives	428
cyber espionage activity	429
TEMP.Hermit	430
financial sector	431
steal hundreds of millions of dollars	432
cyber espionage operators	433
operational groups	434
TEMP.Hermit activity	435
raise large sums of money	436
banks	437
financial entities	438
government agencies	439
news outlets	440
financial transaction exchange companies	441
groups	442
spear-phishing	443
heist activity	444
SWIFT	445
steal millions of dollars	446
raise money	447
Financial Exchange banks	448
financial organizations	449
beginning of 2014	450
international entities	451
February 2014	452
March 2013	453
Reaper	454
state-sponsored group	455
reconnaissance-only activity	456
early 2014	457
NESTEGG	458
KEYLIME	459
keylogger	460
Southeast Asian	461
bank	462
November 2015	463
end of 2016	464
email	465
MACKTRUCK	466
late 2015	467
DYEPACK	468
steal money	469
bank personnel	470
increase the likelihood	471
banking	472
WHITEOUT malware	473
APT39	474
telecommunications sector	475
travel industry	476
IT firms	477
high-tech industry	478
cyber operators	479
Lab 110	480
WHITEOUT	481
Contopee	482
personal information sets	483
telecommunications and travel industries	484
specific individuals	485
collect proprietary or customer data	486
commercial or operational purposes	487
create additional accesses and vectors	488
anonymous proxy users	489
researchers	490
Rocket Kitten	491
Cadelle	492
Remexi	493
Backdoor.Cadelspy	494
Backdoor.Remexi	495
Backdoor.Remexi.B	496
Chafer	497
Remote Desktop Protocol	498
RDP	499
Secure Shell	500
SSH	501
PsExec	502
RemCom	503
xCmdSvc	504
zero-day exploit	505
Gamma Group	506
BlackOasis group	507
hacker group	508
BlackOasis	509
Kaspersky	510
Adobe Flash Player zero-day vulnerability	511
CVE-2016-4117	512
FinSpy	513
politics	514
REDBALDKNIGHT	515
defense	516
biotechnology	517
electronics manufacturing	518
industrial chemistry	519
BRONZE BUTLER	520
Tick	521
decoy documents	522
Secureworks®	523
track or monitor targets	524
collect personal information	525
travel itineraries	526
gather customer data	527
telecommunications firms	528
gsecdump	529
Daserf	530
Datper	531
phishing emails	532
zero-day vulnerability	533
scan-and-exploit techniques	534
Daserf malware	535
SWC attacks	536
credential theft	537
WCE	538
steal authentication information	539
Secureworks	540
remote code execution	541
CVE-2016-7836	542
cyberespionage	543
Symantec	544
July 2015	545
Tick attacks	546
Flash ( .swf ) exploit	547
watering hole attacks	548
espionage	549
Carbanak	550
data exfiltration	551
provide remote access	552
Worldwide Interbank Financial Telecommunication	553
transfer money to their accounts	554
backdoor	555
Baltic	556
Central Europe	557
Asia	558
Africa	559
FIN7	560
M-Trends	561
criminals	562
APT techniques	563
financial industry	564
customers	565
VBE	566
consumer	567
bank robbery	568
January 2013	569
Western Europe	570
Anunak	571
criminal group	572
Charming Kitten	573
criminal groups	574
PoSeidon	575
criminal organization	576
Carbon Spider	577
Charming Kitten'	578
academic research	579
gain access	580
OilRig	581
CopyKittens	582
Flying Kitten	583
Islamic Republic of Iran	584
hacking group	585
Iran-based	586
Turk Black Hat	587
Operation Cleaver	588
Cleaver	589
TinyZBot	590
Cyber Army	591
Ashiyane	592
Cyber Resistance Group	593
Izz ad-Din al-Qassam Cyber Fighters	594
Parastoo	595
Shabgard	596
Iran Black Hats	597
SQL injection	598
phishing	599
Syrian Electronic Army	600
botnets	601
Cobalt group	602
Eastern Europe	603
Cobalt	604
CIS	605
phishing messages	606
North	607
Central	608
remote access	609
Beacon	610
Technologies information	611
August	612
October	613
Cobalt Hacking Group	614
Corkow	615
Buhtrap	616
Lurk groups	617
Cobalt Group	618
March	619
Kazakhstan	620
crime gang	621
Cobalt malware attacks	622
cybercrime gang	623
e-payment	624
crime group	625
criminal activities	626
late 2013	627
Anunak malware campaign	628
Strike beacon	629
JavaScript backdoor	630
Talos	631
Iranian threat agents activities	632
