head_entity	relation	tail_entity	ID
admin@338	target_industry	financial	1
admin@338	target_industry	economic	2
admin@338	target_industry	trade policy	3
admin@338	use_tool	publicly available RATs	4
admin@338	use_tool	Poison Ivy	5
admin@338	use_tool	non-public backdoors	6
admin@338	target_organization	media companies	7
admin@338	target_industry	political	8
admin@338	target_industry	economic	9
media companies	org_located_at	Hong Kong	10
political	idus_located_at	Hong Kong	11
political	idus_located_at	China	12
economic	idus_located_at	Hong Kong	13
economic	idus_located_at	China	14
cyber threat groups	relate_to	China-based	15
cyber threat groups	target_organization	international media organizations	16
admin@338	target_organization	international media organizations	17
admin@338	hacker_active_time	August 2015	18
admin@338	use_way	spear phishing emails	19
admin@338	target_organization	media organizations	20
media organizations	org_located_at	Hong Kong-based	21
threat actors	hacker_active_time	August 2015	22
threat actors	use_way	spear phishing emails	23
threat actors	target_organization	media organizations	24
media organizations	org_located_at	Hong Kong-based	25
admin@338	hacker_active_time	August 2015	26
admin@338	use_way	spear phishing emails	27
admin@338	target_organization	media organizations	28
admin@338	launch	activities	29
admin@338	target_industry	financial	30
admin@338	target_organization	policy organizations	31
admin@338	use_way	spear phishing emails	32
admin@338	target_organization	audiences	33
audiences	org_located_at	Western	34
admin@338	have_file	upload.bat	35
admin@338	use_tool	BUBBLEWRAP	36
admin@338	use_tool	Backdoor.APT.FakeWinHTTPHelper	37
admin@338 group	use_tool	BUBBLEWRAP	38
group	use_tool	LOWBALL	39
LOWBALL	tool_have_feature	collect information	40
group	use_tool	BUBBLEWRAP	41
admin@338	relate_to	China	42
admin@338	target_industry	governments	43
admin@338	target_industry	ministries	44
APT	relate_to	China	45
APT	launch	targeted attacks	46
APT	target_industry	governments	47
APT	target_industry	ministries	48
gang	relate_to	China	49
gang	launch	targeted attacks	50
gang	target_industry	governments	51
gang	target_industry	ministries	52
group	target_industry	media	53
group	use_tool	remote access Trojans	54
group	use_tool	Poison Ivy	55
group	target_industry	government	56
group	target_organization	financial firms	57
group	target_industry	global economic	58
media	idus_located_at	Hong Kong	59
admin@338	target_industry	media	60
admin@338	use_tool	remote access Trojans	61
admin@338	use_tool	Poison Ivy	62
admin@338	target_industry	government	63
admin@338	target_organization	financial firms	64
admin@338	target_industry	global economic	65
agroup	target_industry	media	66
agroup	use_tool	remote access Trojans	67
agroup	use_tool	Poison Ivy	68
agroup	target_industry	government	69
agroup	target_organization	financial firms	70
agroup	target_industry	global economic	71
media	idus_located_at	Hong Kong	72
admin@338	target_industry	media	73
admin@338	use_tool	remote access Trojans	74
admin@338	use_tool	Poison Ivy	75
admin@338	target_industry	government	76
admin@338	target_organization	financial firms	77
admin@338	target_industry	global economic	78
admin@338	hacker_active_time	2008	79
admin@338	target_industry	financial services	80
admin@338	target_industry	telecoms	81
admin@338	target_industry	government	82
admin@338	target_organization	defense sectors	83
APT actor	hacker_active_time	2008	84
APT actor	target_industry	financial services	85
APT actor	target_industry	telecoms	86
APT actor	target_industry	government	87
APT actor	target_organization	defense sectors	88
FireEye	sec_active_time	August 2013	89
FireEye	find	admin@338	90
admin@338	use_tool	Poison Ivy RAT	91
admin@338	hacker_active_time	March 2014	92
admin@338	target_industry	government	93
admin@338	target_organization	think tank	94
government	idus_located_at	Asia-Pacific	95
think tank	org_located_at	US-based	96
group	hacker_active_time	March 2014	97
group	target_industry	government	98
group	target_organization	think tank	99
government	idus_located_at	Asia-Pacific	100
think tank	org_located_at	US-based	101
FireEye	find	admin@338	102
admin@338	use_way	emails	103
admin@338	exploit	Microsoft Office vulnerabilities	104
admin@338	use_tool	LOWBALL	105
FireEye	find	attackers	106
attackers	use_way	emails	107
attackers	exploit	Microsoft Office vulnerabilities	108
attackers	use_tool	LOWBALL	109
admin@338	use_tool	BUBBLEWRAP	110
threat groups	relate_to	China-based	111
threat groups	target_organization	media organizations	112
media organizations	org_located_at	Hong Kong	113
admin@338	target_organization	media organizations	114
media organizations	org_located_at	Hong Kong	115
FireEye	find	group	116
FireEye	find	hackers	117
FireEye	find	admin@338	118
FireEye	find	attackers	119
FireEye	find	cyber espionage	120
group	relate_to	Chinese-based	121
group	use_way	spear phishing emails	122
group	target_organization	government officials	123
hackers	relate_to	Chinese-based	124
admin@338	relate_to	Chinese-based	125
attackers	relate_to	Chinese-based	126
cyber espionage	relate_to	Chinese-based	127
hackers	use_way	spear phishing emails	128
hackers	target_organization	government officials	129
admin@338	use_way	spear phishing emails	130
admin@338	target_organization	government officials	131
attackers	use_way	spear phishing emails	132
cyber espionage	use_way	spear phishing emails	133
attackers	target_organization	government officials	134
cyber espionage	target_organization	government officials	135
attackers	use_tool	Poison Ivy RAT	136
attackers	use_tool	WinHTTPHelper malware	137
attackers	target_organization	government officials	138
admin@338	use_tool	Poison Ivy RAT	139
admin@338	use_tool	WinHTTPHelper malware	140
admin@338	target_organization	government officials	141
FireEye	find	admin@338 group	142
admin@338 group	launch	activities	143
admin@338	launch	spear-phishing campaign	144
admin@338	launch	attack	145
admin@338	target_organization	think tank	146
admin@338	hacker_active_time	14th March	147
think tank	org_located_at	US-based	148
cyber threat actors	relate_to	China	149
FireEye	find	admin@338	150
FireEye	sec_active_time	2013	151
FireEye	find	group	152
admin@338	launch	activity	153
admin@338	hacker_active_time	2013	154
admin@338	target_industry	financial	155
admin@338	target_industry	economic	156
admin@338	target_industry	trade policy	157
group	launch	activity	158
group	hacker_active_time	2013	159
group	target_industry	financial	160
group	target_industry	economic	161
group	target_industry	trade policy	162
APT1	relate_to	China	163
APT1	relate_to	Shanghai	164
APT1	relate_to	China	165
APT1	relate_to	Chinese	166
APT1	use_tool	BISCUIT	167
APT1	hacker_active_time	2007	168
APT1	use_tool	publicly available backdoors	169
APT1	use_tool	Poison Ivy	170
APT1	use_tool	Gh0st RAT	171
APT1	relate_to	China-based	172
APT1	hacker_active_time	mid-2006	173
cyber-espionage group	relate_to	China-based	174
cyber-espionage group	hacker_active_time	mid-2006	175
Arbor	find	APT12	176
FireEye	find	APT12	177
APT12	use_tool	HIGHTIDE	178
APT12	use_tool	RIPTIDE	179
APT12	use_tool	HIGHTIDE backdoor	180
FireEye	sec_active_time	October 2012	181
APT12	hacker_active_time	October 2012	182
FireEye	sec_active_time	May 2014	183
APT12	hacker_active_time	May 2014	184
FireEye	find	APT12	185
APT12	use_tool	RIPTIDE	186
APT12	use_tool	HTTP	187
APT12	launch	RIPTIDE campaigns	188
APT12	use_tool	HIGHTIDE	189
APT12	use_tool	Microsoft Word	190
APT12	use_tool	.doc	191
FireEye	find	APT12	192
APT12	use_tool	RIPTIDE	193
APT12	use_tool	HIGHTIDE	194
cyber threat group	relate_to	China-based	195
threat	relate_to	China-based	196
APT	relate_to	China-based	197
group	relate_to	China-based	198
admin@338	relate_to	China-based	199
FireEye	find	cyber threat group	200
cyber threat group	launch	activity	201
FireEye	find	threat	202
FireEye	find	APT	203
FireEye	find	group	204
FireEye	find	admin@338	205
threat	launch	activity	206
APT	launch	activity	207
group	launch	activity	208
admin@338	launch	activity	209
group	launch	activities	210
group	target_industry	financial	211
group	target_organization	policy organizations	212
group	use_way	spear phishing emails	213
group	target_organization	audiences	214
audiences	org_located_at	Western	215
APT12	target_organization	The New York Times	216
APT12	launch	attack	217
APT12	use_tool	Backdoor.APT.Aumlib	218
APT12	use_tool	Backdoor.APT.Ixeshe malware families	219
NUMBERED PANDA	relate_to	China	220
Numbered Panda	relate_to	China	221
APT12	launch	campaigns	222
group	launch	campaigns	223
APT12	hacker_active_time	January	224
group	hacker_active_time	January	225
APT16	hacker_active_time	November 26 , 2015	226
APT16	hacker_active_time	December 1 , 2015	227
APT16	relate_to	China-based	228
APT16	launch	spear phishing attacks	229
